Beer,Brewery,Location,Style,Size,ABV,IBUs
House Lager,Jack's Abby Craft Lagers,"Framingham, MA",Keller Bier / Zwickel Bier,16 oz.,5.20%,18
Leisure Time,Jack's Abby Craft Lagers,"Framingham, MA",American Pale Lager,12 oz.,4.80%,15
Excess IPL,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,16 oz.,7.20%,80
Hoponius Union,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,12 oz.,6.70%,65
Calyptra,Jack's Abby Craft Lagers,"Framingham, MA",American India Pale Lager,12 oz.,4.90%,45
Habitus (2014),Mike Hess Brewing Company,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.00%,100
Solis,Mike Hess Brewing Company,"San Diego, CA",American IPA,16 oz.,7.50%,85
Jucundus,Mike Hess Brewing Company,"San Diego, CA",Wheat Ale,16 oz.,6.00%,24
Habitus,Mike Hess Brewing Company,"San Diego, CA",American Double / Imperial IPA,16 oz.,8.00%,100
Grazias,Mike Hess Brewing Company,"San Diego, CA",Cream Ale,16 oz.,6.30%,30
Claritas,Mike Hess Brewing Company,"San Diego, CA",Kölsch,16 oz.,5.80%,28
Park,Fort Point Beer Company,"San Francisco, CA",American Pale Wheat Ale,12 oz.,4.70%,19
Westfalia,Fort Point Beer Company,"San Francisco, CA",American Amber / Red Ale,12 oz.,5.60%,16
KSA,Fort Point Beer Company,"San Francisco, CA",Kölsch,12 oz.,4.60%,17
Villager,Fort Point Beer Company,"San Francisco, CA",American IPA,12 oz.,6.30%,42
Blackbeard,COAST Brewing Company,"Charleston, SC",American Double / Imperial Stout,12 oz.,9.30%,N/A
Rye Knot,COAST Brewing Company,"Charleston, SC",American Brown Ale,12 oz.,6.20%,N/A
Dead Arm,COAST Brewing Company,"Charleston, SC",American Pale Ale (APA),12 oz.,6.00%,N/A
32°/50° Kölsch,COAST Brewing Company,"Charleston, SC",Kölsch,16 oz.,4.80%,N/A
HopArt,COAST Brewing Company,"Charleston, SC",American IPA,16 oz.,7.70%,N/A
Boy King,COAST Brewing Company,"Charleston, SC",American Double / Imperial IPA,16 oz.,9.70%,N/A
Denver Pale Ale (Artist Series No. 1),Great Divide Brewing Company,"Denver, CO",American Pale Ale (APA),12 oz.,5.00%,N/A
Hibernation Ale,Great Divide Brewing Company,"Denver, CO",Old Ale,12 oz.,8.70%,N/A
Whitewater,Great Divide Brewing Company,"Denver, CO",American Pale Wheat Ale,12 oz.,6.10%,N/A
Rumble,Great Divide Brewing Company,"Denver, CO",American IPA,12 oz.,7.10%,N/A
Orabelle,Great Divide Brewing Company,"Denver, CO",Tripel,12 oz.,8.30%,N/A
Lasso,Great Divide Brewing Company,"Denver, CO",American IPA,12 oz.,5.00%,N/A
Yeti Imperial Stout,Great Divide Brewing Company,"Denver, CO",Russian Imperial Stout,12 oz.,9.50%,75
Colette,Great Divide Brewing Company,"Denver, CO",Saison / Farmhouse Ale,12 oz.,7.30%,N/A
Titan IPA,Great Divide Brewing Company,"Denver, CO",American IPA,12 oz.,7.10%,N/A
Peck's Porter,Tapistry Brewing,"Bridgman, MI",American Porter,16 oz.,6.50%,35
Dark Star,Big Lake Brewing,"Holland, MI",American Stout,16 oz.,8.00%,54
G. B. Russo’s Italian Pistachio Pale Ale,The Mitten Brewing Company,"Grand Rapids, MI",American Pale Ale (APA),16 oz.,5.20%,N/A
Belfort,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,6.70%,N/A
Star Runner,Brewery Vivant,"Grand Rapids, MI",Belgian Pale Ale,16 oz.,6.00%,N/A
Sparkle,Petoskey Brewing,"Petoskey, MI",American Pale Lager,16 oz.,4.10%,12
Nordskye,Blackrocks Brewery,"Marquette, MI",American IPA,12 oz.,4.80%,47
Hotbox Brown,Perrin Brewing Company,"Comstock Park, MI",American Brown Ale,12 oz.,5.50%,10
Gold,Perrin Brewing Company,"Comstock Park, MI",American Blonde Ale,12 oz.,4.80%,15
Black,Perrin Brewing Company,"Comstock Park, MI",American Black Ale,12 oz.,5.80%,N/A
98 Problems (Cuz A Hop Ain't One),Perrin Brewing Company,"Comstock Park, MI",American IPA,12 oz.,6.50%,65
Veteran’s Pale Ale (VPA),Perrin Brewing Company,"Comstock Park, MI",American Pale Ale (APA),12 oz.,5.00%,40
Grapefruit IPA,Perrin Brewing Company,"Comstock Park, MI",American IPA,12 oz.,5.00%,35
Train Hopper,Witch's Hat Brewing Company,"South Lyon, MI",American IPA,12 oz.,5.80%,72
Edward’s Portly Brown,Witch's Hat Brewing Company,"South Lyon, MI",American Brown Ale,12 oz.,4.50%,N/A
Dirty Bastard,Founders Brewing Company,"Grand Rapids, MI",Scotch Ale / Wee Heavy,12 oz.,8.50%,50
Deflator,Flat 12 Bierwerks,"Indianapolis, IN",Doppelbock,16 oz.,6.50%,N/A
Cafe Leche,Tin Man Brewing Company,"Evansville, IN",American Porter,16 oz.,5.80%,20
Damascene Apricot Sour,Tin Man Brewing Company,"Evansville, IN",Fruit / Vegetable Beer,16 oz.,5.20%,12
Csar,Tin Man Brewing Company,"Evansville, IN",Russian Imperial Stout,16 oz.,12.00%,90
Saucy Intruder,Black Acre Brewing Co.,"Indianapolis, IN",Rye Beer,16 oz.,7.20%,75
Insert Hop Reference,Brew Link Brewing,"Plainfield, IN",American Pale Ale (APA),16 oz.,5.80%,N/A
Thai.p.a,Bare Hands Brewery,"Granger, IN",American IPA,16 oz.,7.00%,46
Citra Faced,Three Pints Brewing,"Martinsville, IN",American Pale Wheat Ale,16 oz.,5.50%,64
Pole Barn Stout,Three Pints Brewing,"Martinsville, IN",Oatmeal Stout,16 oz.,5.50%,31
Pale,Three Pints Brewing,"Martinsville, IN",American Pale Ale (APA),16 oz.,5.40%,37
Yoshi's Nectar,Three Pints Brewing,"Martinsville, IN",California Common / Steam Beer,16 oz.,5.30%,27
Feel Like Maplin' Love,Four Fathers Brewing,"Valparaiso, IN",Oatmeal Stout,16 oz.,5.50%,N/A
Father's Beer,Four Fathers Brewing,"Valparaiso, IN",Belgian Pale Ale,16 oz.,5.00%,N/A
The 26th,Four Fathers Brewing,"Valparaiso, IN",American IPA,16 oz.,6.00%,N/A
The Gadget,Four Fathers Brewing,"Valparaiso, IN",American IPA,16 oz.,6.40%,90
Tribute,Indiana City Brewing,"Indianapolis, IN",American Pale Ale (APA),12 oz.,5.80%,58
Wrath of Pele,Burn 'Em Brewing,"Michigan City, IN",American Brown Ale,16 oz.,6.50%,N/A
Black Beer'd,Burn 'Em Brewing,"Michigan City, IN",American Black Ale,16 oz.,6.80%,N/A
Mr. Tea,Burn 'Em Brewing,"Michigan City, IN",Fruit / Vegetable Beer,24 oz.,7.80%,N/A
Tip Off,Sun King Brewing Company,"Indianapolis, IN",Altbier,16 oz.,5.20%,29
Blonde Czich,Evil Czech Brewery,"Mishawaka, IN",American Blonde Ale,16 oz.,4.90%,23
Galaxyfest,450 North Brewing Company,"Columbus, IN",American IPA,16 oz.,6.50%,N/A
Citrafest,450 North Brewing Company,"Columbus, IN",American IPA,16 oz.,5.00%,45
Deduction,Taxman Brewing Company,"Bargersville, IN",Dubbel,12 oz.,8.00%,22
Gone A-Rye,Cedar Creek Brewery,"Seven Points, TX",American Double / Imperial IPA,16 oz.,8.50%,90
Sex Panther,SanTan Brewing Company,"Chandler, AZ",American Porter,12 oz.,6.90%,20
Tart Side of the Barrel,Brewery Vivant,"Grand Rapids, MI",American Double / Imperial Stout,16 oz.,9.80%,N/A
Linnaeus Mango IPA,Brewery Vivant,"Grand Rapids, MI",American IPA,16 oz.,6.00%,N/A
Heavy Lifting,Boulevard Brewing Company,"Kansas City, MO",American IPA,12 oz.,6.20%,80
Bastian,James Page Brewing Company,"Stevens Point, WI",American Strong Ale,12 oz.,???,N/A
Surfrider,The Dudes' Brewing Company,"Torrance, CA",American Pale Ale (APA),16 oz.,5.20%,35
Grapefruit Sculpin,Ballast Point Brewing Company,"San Diego, CA",American IPA,12 oz.,7.00%,N/A
Liberty Ale,Anchor Brewing Company,"San Francisco, CA",American IPA,12 oz,5.90%,N/A
Weiss Weiss Baby,Figueroa Mountain Brewing Company,"Buellton, CA",Kristalweizen,12 oz.,4.50%,N/A
Czech Yo Self,Figueroa Mountain Brewing Company,"Buellton, CA",Czech Pilsener,12 oz.,5.50%,45
Raja,Avery Brewing Company,"Boulder, CO",American Double / Imperial IPA,12 oz.,8.00%,N/A
Cow Creek,Twisted X Brewing Company,"Dripping Springs, TX",American Amber / Red Lager,12 oz.,5.40%,26
Vanilla Porter,Gonzo's BiggDogg Brewing,"Kalamazoo, MI",American Porter,16 oz.,7.00%,11
Blueberry Blonde,Big Muddy Brewing,"Murphysboro, IL",Fruit / Vegetable Beer,12 oz.,6.00%,N/A
Galaxy IPA,Big Muddy Brewing,"Murphysboro, IL",American IPA,16 oz.,7.50%,60
Gose,Lost Nation Brewing,"East Fairfield, VT",Gose,16 oz.,4.60%,8
Vermont Pilsner,Lost Nation Brewing,"East Fairfield, VT",German Pilsener,16 oz.,4.80%,20
Mosaic Single Hop IPA,Lost Nation Brewing,"East Fairfield, VT",American IPA,16 oz.,5.50%,N/A
Lost Galaxy,Lost Nation Brewing,"East Fairfield, VT",American IPA,16 oz.,4.50%,N/A
Gose,Rising Tide Brewing Company,"Portland, ME",Gose,16 oz.,3.50%,N/A
Jah Mon,Rivertowne Brewing Company,"Export, PA",American IPA,12 oz.,5.00%,100
IPA,Anchor Brewing Company,"San Francisco, CA",American IPA,12 oz.,6.50%,N/A
Summer Wheat,Anchor Brewing Company,"San Francisco, CA",American Pale Wheat Ale,12 oz.,4.50%,N/A
Fist City,Revolution Brewing Company,"Chicago, IL",American Pale Ale (APA),12 oz.,5.50%,40
Wooden Rooster,Tallgrass Brewing Company,"Manhattan, KS",Tripel,16.9 oz.,8.50%,34
4Beans,Sixpoint Craft Ales,"Brooklyn, NY",Baltic Porter,12 oz.,10.00%,52
Raspberry Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.50%,N/A
Hop Session,White Birch Brewing,"Hooksett, NH",American IPA,12 oz.,5.00%,N/A
Blueberry Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.50%,N/A
Berliner Weisse,White Birch Brewing,"Hooksett, NH",Berliner Weissbier,12 oz.,5.50%,N/A
Easy Jack,Firestone Walker Brewing Company,"Paso Robles, CA",American IPA,12 oz.,4.50%,47
Take Two Pils,SweetWater Brewing Company,"Atlanta, GA",German Pilsener,12 oz.,5.50%,35
Flying Mouse 8,Flying Mouse Brewery,"Troutville, VA",American Porter,12 oz.,4.00%,N/A
Flying Mouse 4,Flying Mouse Brewery,"Troutville, VA",American IPA,12 oz.,7.00%,70
Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,Upslope Brewing Company,"Boulder, CO",Quadrupel (Quad),19.2 oz.,12.80%,N/A
Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,Upslope Brewing Company,"Boulder, CO",Rye Beer,19.2 oz.,10.40%,N/A
Lee Hill Series Vol. 2 - Wild Saison,Upslope Brewing Company,"Boulder, CO",American Wild Ale,19.2 oz.,6.80%,24
Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,Upslope Brewing Company,"Boulder, CO",American Double / Imperial Stout,19.2 oz.,9.90%,51
Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,Upslope Brewing Company,"Boulder, CO",American Brown Ale,19.2 oz.,7.60%,N/A
Blood Orange Saison,Upslope Brewing Company,"Boulder, CO",Saison / Farmhouse Ale,12 oz.,6.00%,N/A
Blood of the Unicorn,Pipeworks Brewing Company,"Chicago, IL",American Amber / Red Ale,16 oz.,6.50%,N/A
Moar,Bent Brewstillery,"Roseville, MN",English India Pale Ale (IPA),12 oz.,4.40%,44
Uber Lupin Schwarz IPA,Bent Brewstillery,"Roseville, MN",American Double / Imperial IPA,16 oz.,8.30%,N/A
Nordic Blonde,Bent Brewstillery,"Roseville, MN",American Blonde Ale,12 oz.,5.70%,27
Ginger Peach Saison,Tallgrass Brewing Company,"Manhattan, KS",Saison / Farmhouse Ale,16 oz.,4.80%,20
Moped Traveler,Flesk Brewing Company,"Lombard, IL",American Pale Ale (APA),16 oz.,5.50%,N/A
Mazzie,Pollyanna Brewing Company,"Lemont, IL",American Pale Ale (APA),12 oz.,5.40%,45
Painted Turtle,BuckleDown Brewing,"Lyons, IL",American Pale Ale (APA),12 oz.,4.50%,N/A
Waterkeeper,SweetWater Brewing Company,"Atlanta, GA",Hefeweizen,12 oz.,5.70%,N/A
Weissenheimer,Destihl Brewery,"Bloomington, IL",Hefeweizen,12 oz.,5.20%,16
Make It So,Summit Brewing Company,"St. Paul, MN",Extra Special / Strong Bitter (ESB),12 oz.,5.30%,40
Beasts A'Burnin',Brewery Vivant,"Grand Rapids, MI",Rauchbier,16 oz.,7.00%,N/A
Beach Cruiser,Latitude 42 Brewing Company,"Portage, MI",Hefeweizen,12 oz.,4.50%,N/A
Perzik Saison,Avery Brewing Company,"Boulder, CO",Saison / Farmhouse Ale,12 oz.,6.40%,N/A
Passion Fruit Prussia,4 Hands Brewing Company,"Saint Louis, MO",Berliner Weissbier,12 oz.,3.50%,11
Send Help,4 Hands Brewing Company,"Saint Louis, MO",American Blonde Ale,12 oz.,4.50%,18
Todd the Axe Man,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,7.20%,N/A
Verdun,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,7.70%,N/A
Barrel Aged Triomphe,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,6.50%,N/A
Citra Ass Down,Against The Grain Brewery,"Louisville, KY",American IPA,16 oz.,8.20%,68
The Brown Note,Against The Grain Brewery,"Louisville, KY",American Brown Ale,16 oz.,5.00%,20
Neomexicanus Native,Crazy Mountain Brewing Company,"Edwards, CO",American Pale Ale (APA),12 oz.,6.00%,46
Monkey Dancing On A Razor Blade,SlapShot Brewing Company,"Chicago, IL",Belgian IPA,24 oz.,8.50%,N/A
Tripel Deke,SlapShot Brewing Company,"Chicago, IL",Tripel,24 oz.,8.20%,N/A
Vinyl Frontier,Mikerphone Brewing,"Chicago, IL",American Double / Imperial IPA,24 oz.,8.30%,N/A
Disco Superfly,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,8.00%,N/A
Misty Mountain Hop,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,7.50%,N/A
One-Hit Wonderful,Mikerphone Brewing,"Chicago, IL",Belgian IPA,24 oz.,7.50%,N/A
En Parfaite Harmonie,Mikerphone Brewing,"Chicago, IL",Saison / Farmhouse Ale,24 oz.,6.50%,N/A
Daft Funk,Mikerphone Brewing,"Chicago, IL",Berliner Weissbier,24 oz.,4.30%,8
Love In An Ellavator,Mikerphone Brewing,"Chicago, IL",American IPA,24 oz.,7.50%,N/A
Spin Doctor,Mikerphone Brewing,"Chicago, IL",American Pale Ale (APA),24 oz.,5.30%,N/A
OktoberFiesta,Freetail Brewing Company,"San Antonio, TX",,12 oz.,5.30%,27
Texicali,Freetail Brewing Company,"San Antonio, TX",American Brown Ale,12 oz.,6.50%,33
Pinata Protest,Freetail Brewing Company,"San Antonio, TX",Witbier,12 oz.,6.00%,N/A
Bat Outta Helles,Freetail Brewing Company,"San Antonio, TX",Munich Helles Lager,12 oz.,4.20%,20
Original,Freetail Brewing Company,"San Antonio, TX",American Amber / Red Ale,12 oz.,6.80%,N/A
Rye Wit,Freetail Brewing Company,"San Antonio, TX",Witbier,12 oz.,4.20%,10
Soul Doubt,Freetail Brewing Company,"San Antonio, TX",American IPA,12 oz.,5.90%,70
Yo Soy Un Berliner,Freetail Brewing Company,"San Antonio, TX",Berliner Weissbier,12 oz.,4.40%,5
Bimini Twist,3 Daughters Brewing,"St Petersburg, FL",American IPA,12 oz.,7.00%,82
Beach Blonde,3 Daughters Brewing,"St Petersburg, FL",American Blonde Ale,12 oz.,5.00%,N/A
Rod Bender Red,3 Daughters Brewing,"St Petersburg, FL",American Amber / Red Ale,12 oz.,5.90%,N/A
Farmer's Daughter Blonde,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American Blonde Ale,16 oz.,5.10%,17
Pump House IPA,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American IPA,16 oz.,5.50%,45
Suicide Blonde IPA,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",Belgian IPA,16 oz.,7.00%,N/A
Vanilla Porter,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",American Porter,16 oz.,4.70%,25
Honey Rye,Red Shedman Farm Brewery and Hop...,"Mt. Airy, MD",Rye Beer,16 oz.,5.80%,18
Long Leaf,Appalachian Mountain Brewery,"Boone, NC",American IPA,16 oz.,7.10%,75
Honey Badger Blonde,Appalachian Mountain Brewery,"Boone, NC",American Blonde Ale,16 oz.,4.70%,19
Porter (a/k/a Black Gold Porter),Appalachian Mountain Brewery,"Boone, NC",American Porter,16 oz.,6.00%,23
Jalapeno Pale Ale,Birdsong Brewing Company,"Charlotte, NC",American Pale Ale (APA),16 oz.,5.50%,45
Double Duckpin,Union Craft Brewing,"Baltimore, MD",American Double / Imperial IPA,12 oz.,8.50%,90
Old Pro,Union Craft Brewing,"Baltimore, MD",Gose,12 oz.,4.20%,10
Abbey's Single (2015- ),Destihl Brewery,"Bloomington, IL",Abbey Single Ale,12 oz.,4.90%,22
Cherry Doppelbock,Brewery Vivant,"Grand Rapids, MI",Doppelbock,16 oz.,6.50%,N/A
Hop A-Peel,Atwater Brewery,"Detroit, MI",American Double / Imperial IPA,16 oz.,7.50%,115
Vanilla Java Porter,Atwater Brewery,"Detroit, MI",American Porter,16 oz.,5.50%,12
Hopalicious,Ale Asylum,"Madison, WI",American Pale Ale (APA),12 oz.,5.70%,N/A
Tropical Saison,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,6.50%,N/A
Beach Patrol,Brewery Vivant,"Grand Rapids, MI",Witbier,16 oz.,6.50%,N/A
Nuit Serpent,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,5.00%,N/A
Wobble,Two Brothers Brewing Company,"Warrenville, IL",American IPA,16 oz.,6.30%,69
Cold Press,Bent Paddle Brewing Company,"Duluth, MN",American Black Ale,12 oz.,6.00%,N/A
Michelada,Atwater Brewery,"Detroit, MI",Fruit / Vegetable Beer,16 oz.,5.20%,N/A
Oberon,Bell's Brewery,"Kalamazoo, MI",American Pale Wheat Ale,12 OZ.,5.80%,N/A
I.P. Eh!,Latitude 42 Brewing Company,"Portage, MI",American IPA,12 oz.,6.80%,N/A
Schoolhouse Honey,Latitude 42 Brewing Company,"Portage, MI",American Amber / Red Ale,12 oz.,5.00%,N/A
10 Degrees of Separation,Latitude 42 Brewing Company,"Portage, MI",English Brown Ale,12 oz.,5.50%,N/A
Professor Black,Blue Owl Brewing,"Austin, TX",American Stout,12 oz.,???,N/A
Little Boss,Blue Owl Brewing,"Austin, TX",American Pale Wheat Ale,12 oz.,???,N/A
Van Dayum!,Blue Owl Brewing,"Austin, TX",American Amber / Red Ale,12 oz.,???,N/A
Spirit Animal,Blue Owl Brewing,"Austin, TX",American Pale Ale (APA),12 oz.,???,N/A
Baby Daddy Session IPA,Speakasy Ales & Lagers,"San Francisco, CA",American IPA,12 oz.,4.70%,35
Saddle Bronc Brown Ale,Black Tooth Brewing Company,"Sheridan, WY",American Brown Ale,12 oz.,4.80%,16
Bomber Mountain Amber Ale,Black Tooth Brewing Company,"Sheridan, WY",American Amber / Red Ale,12 oz.,4.60%,20
Hard Cider,Hopworks Urban Brewery,"Portland, OR",Cider,16 oz.,6.80%,N/A
Totally Radler,Hopworks Urban Brewery,"Portland, OR",Radler,16 oz.,2.70%,21
Paris,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,9.00%,N/A
Healani,James Page Brewing Company,"Stevens Point, WI",Hefeweizen,12 oz.,4.50%,N/A
Jammer,Sixpoint Craft Ales,"Brooklyn, NY",Gose,12 oz. Slimline,4.20%,16
Pale Alement,Burn 'Em Brewing,"Michigan City, IN",American Pale Ale (APA),12 oz.,5.50%,40
Lil' Brainless Raspberries,Epic Brewing,"Denver, CO",Fruit / Vegetable Beer,12 oz.,5.20%,N/A
The Grand Army,Brewery Vivant,"Grand Rapids, MI",Belgian IPA,16 oz.,5.50%,N/A
Slow Ride,New Belgium Brewing Company,"Fort Collins, CO",American IPA,12 oz.,4.50%,40
Nooner,Sierra Nevada Brewing Company,"Chico, CA",German Pilsener,12 oz.,5.20%,N/A
Hopvale Organic Ale,Summit Brewing Company,"St. Paul, MN",American Pale Ale (APA),16 oz.,4.70%,55
U. P. Witbier,Keweenaw Brewing Company,"Houghton, MI",Witbier,12 oz.,???,N/A
Hopkick Dropkick,Burn 'Em Brewing,"Michigan City, IN",American Double / Imperial IPA,12 oz.,9.90%,115
Kreamed Corn,Burn 'Em Brewing,"Michigan City, IN",Cream Ale,12 oz.,6.00%,N/A
Ryecoe,Big Lake Brewing,"Holland, MI",American IPA,16 oz.,6.20%,N/A
Manitou Amber,Brewery Terra Firma,"Traverse City, MI",American Amber / Red Ale,16 oz.,5.30%,N/A
Acidulated Trip,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,5.90%,N/A
Root Stock,Brewery Vivant,"Grand Rapids, MI",Rye Beer,16 oz.,6.60%,N/A
Mind Games,Brewery Vivant,"Grand Rapids, MI",Dunkelweizen,16 oz.,4.10%,N/A
Coconoats,Burn 'Em Brewing,"Michigan City, IN",American Pale Wheat Ale,16 oz.,6.50%,N/A
Union Jack,Firestone Walker Brewing Company,"Paso Robles, CA",American IPA,12 oz.,7.50%,75
Pivo Pils,Firestone Walker Brewing Company,"Paso Robles, CA",German Pilsener,12 oz.,5.30%,N/A
Autumn Winds Fest Beer,Grey Sail Brewing Company,"Westerly, RI",Märzen / Oktoberfest,16 oz,5.80%,N/A
India Pale Ale,Kirkwood Station Brewing Company,"Kirkwood, MO",American IPA,16 oz.,6.30%,65
Blackberry Wheat,Kirkwood Station Brewing Company,"Kirkwood, MO",American Pale Wheat Ale,16 oz.,4.80%,11
Chupahopra,Twisted X Brewing Company,"Dripping Springs, TX",American IPA,12 oz.,7.50%,63
312 Urban Pale Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.40%,30
Broad Brook Ale,Broad Brook Brewing LLC,"East Windsor, CT",American Amber / Red Ale,16 oz.,6.10%,N/A
Lionshead,The Lion Brewery,"Wilkes-Barre, PA",American Pilsner,12 oz.,4.50%,N/A
Galaxy High,Madtree Brewing Company,"Cincinnati, OH",American Double / Imperial IPA,12 oz.,9.90%,N/A
Razz Wheat,Jackie O's Pub & Brewery,"Athens, OH",Fruit / Vegetable Beer,12 oz.,5.50%,N/A
Hustle,Rhinegeist Brewery,"Cincinnati, OH",American Amber / Red Ale,12 oz.,5.70%,42
Pure Fury,Rhinegeist Brewery,"Cincinnati, OH",American Pale Ale (APA),12 oz.,5.50%,42
Self Starter,Warped Wing Brewing Company,"Dayton, OH",American IPA,16 oz.,5.20%,67
Flying Sailor,Blackrocks Brewery,"Marquette, MA",Rye Beer,12 oz.,7.30%,N/A
Reactor,Tapistry Brewing,"Bridgman, MI",American IPA,16 oz.,7.00%,N/A
Mr. Orange,Tapistry Brewing,"Bridgman, MI",Witbier,16 oz.,5.70%,N/A
Peanut Butter Jelly Time,Catawba Valley Brewing Company,"Morganton, NC",American Brown Ale,12 oz.,5.80%,N/A
Troegenator,Tröegs Brewing Company,"Hershey, PA",Doppelbock,16 oz.,8.20%,N/A
Nugget Nectar,Tröegs Brewing Company,"Hershey, PA",American Amber / Red Ale,16 oz.,7.50%,93
Abigale,Sixpoint Craft Ales,"Brooklyn, NY",Belgian Pale Ale,12 oz.,8.00%,N/A
Cortez Gold,Mission Brewery,"San Diego, CA",Belgian Pale Ale,32 oz.,5.00%,N/A
Mission IPA,Mission Brewery,"San Diego, CA",American IPA,32 oz.,6.80%,66
Bay of Bengal Double IPA (2014),Christian Moerlein Brewing Company,"Cincinnati, OH",American Double / Imperial IPA,12 oz.,8.90%,126
Christmas Ale,West Sixth Brewing,"Lexington, KY",Herbed / Spiced Beer,12 oz.,9.00%,N/A
Rhode Island Blueberry,Coastal Extreme Brewing Company,"Newport, RI",Kölsch,12 oz.,4.60%,11
Newport Storm IPA,Coastal Extreme Brewing Company,"Newport, RI",American IPA,12 oz.,6.50%,75
Amber Ale,King Street Brewing Company,"Anchorage, AK",American Amber / Red Ale,12 oz.,5.10%,N/A
Watermelon Ale,Beer Works Brewery,"Lowell, MA",Fruit / Vegetable Beer,12 oz.,5.00%,10
Peach Pale Ale,Lone Tree Brewing Company,"Lone Tree, CO",American Pale Ale (APA),12 oz.,5.70%,40
Sous Chef,Brewery Vivant,"Grand Rapids, MI",Belgian Strong Pale Ale,16 oz.,8.20%,N/A
White Reaper,Evil Czech Brewery,"Mishawaka, IN",Belgian IPA,16 oz.,7.00%,61
Bobblehead,Evil Czech Brewery,"Mishawaka, IN",American Pale Wheat Ale,16 oz.,5.10%,N/A
Lucky Dog,Evil Czech Brewery,"Mishawaka, IN",American Pale Ale (APA),16 oz.,5.20%,N/A
Voodoo,Evil Czech Brewery,"Mishawaka, IN",American Porter,16 oz.,4.80%,N/A
Four String Vanilla Porter,Four String Brewing Company,"Columbus, OH",American Porter,12 oz.,6.00%,N/A
Suncaster Summer Wheat,Four String Brewing Company,"Columbus, OH",American Pale Wheat Ale,12 oz.,5.00%,28
Clean Shave IPA,Glabrous Brewing Company,"Pineland, ME",American IPA,12 oz.,6.70%,70
Brass Knuckle Pale Ale,Four String Brewing Company,"Columbus, OH",American Pale Ale (APA),12 oz.,5.70%,36
